"Sample","Acroloxidae","Aeshnidae","Asellidae","Baetidae","Bithyniidae","Brachionidae","Canthocamptidae","Capitellidae","Chaetonotidae","Chaoboridae","Chironomidae","Chydoridae","Coenagrionidae","Corixidae","Crambidae","Crangonyctidae","Culicidae","Cyclopidae","Cyprididae","Dasydytidae","Dixidae","Dytiscidae","Echinostomatidae","Ephemerellidae","Erpobdellidae","Formicidae","Gammaridae","Gastropidae","Gerridae","Glossiphoniidae","Gyrinidae","Haliplidae","Hydrobiidae","Hydrophilidae","Hygrobiidae","Lecanidae","Leptoceridae","Libellulidae","Limnesiidae","Lumbricidae","Lumbriculidae","Lymnaeidae","Macrobiotidae","Macrotrichidae","Microstomidae","Naididae","Naucoridae","Nepidae","Noteridae","Notonectidae","Philodinidae","Phlaeothripidae","Physidae","Pionidae","Planorbidae","Plumatellidae","Poduridae","Polycentropodidae","Psychodidae","Psychomyiidae","Ptychopteridae","Sciomyzidae","Scirtidae","Sialidae","Simuliidae","Sphaeriidae","Staphylinidae","Stenostomidae","Strigeidae","Synchaetidae","Syrphidae","Tabanidae","Testudinellidae","Tipulidae","Trichocercidae","Trichotriidae","Valvatidae"
"CAKE",0,0,96,11649,0,3,0,0,0,0,37042,0,13610,47903,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,14311,0,8,3,0,0,0,0,10434,0,0,0,6008,0,0,0,527,20,0,0,1927,0,0,0,3,0,0,0,0,0,0,0,0,0,7550,0,0,0,0,185,0,0,2236,0,0,0,0,0
"CHIP",0,0,7481,0,0,0,0,0,0,0,91954,0,0,19970,0,0,0,0,0,0,0,7387,0,0,0,0,0,0,0,2397,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,205,0,0,0,67695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAN",0,0,10252,0,0,0,0,0,0,0,29,0,83253,0,0,0,0,18,10,0,0,9702,0,0,0,0,0,0,0,17,0,9685,18906,0,0,0,0,0,1576,0,0,2295,0,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDUN2",0,0,0,0,0,0,0,0,0,0,39600,0,151,8808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,0,0,0,0,0,0,0,0,0,93,0,5118,0,0,0,65,0,0,0,49548,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2997,0,0,0,0,0,0,0,0,0,0,0
"LDUN3",0,19985,5798,0,0,0,0,0,0,0,27140,0,7615,13905,0,0,0,0,0,0,0,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,290,28379,0,177,15,25,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20730,0,0,0,0,0,0,7,0,0,0,0
"POHI",0,0,31729,3,0,0,0,0,0,0,35191,0,898,3,0,2433,0,0,0,0,72,51,0,0,12,0,9447,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,14,33018,0,0,0,0,0,0,0,23,0,51,31516,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAIL",0,0,9600,168,0,0,0,0,0,0,1027,0,7369,26411,0,0,0,4,0,13,0,7611,0,0,144145,0,0,0,0,25962,0,0,0,0,0,0,0,0,0,0,2940,5389,0,0,0,452,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,40,0,0,0,0,0,0
"SABA",0,60657,0,0,0,0,0,0,0,0,63090,0,3561,13258,0,2018,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,77,0,0,0,0,220,0,0,0,179,0,0,0,0,0,21783,0,0,21637,0,197,0,0,0,0,0,0,0,0,0,0,0
"SKEY1",0,28996,1428,2976,0,0,0,0,0,0,11953,0,9901,35622,0,261,0,0,0,0,552,15273,0,0,23574,0,0,0,0,3,0,339,0,0,0,0,0,8557,0,0,0,30124,0,0,0,73,17409,0,0,2477,28,0,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0
"THW16",0,0,129100,0,0,0,0,0,0,0,4066,0,0,1464,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,1018,0,769,0,0,0,0,0,0,17,0,0,2502,0,0,0,23,0,0,0,55047,0,0,0,0,938,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926
"VALE",0,0,0,0,0,0,0,0,0,0,9517,0,4754,27401,0,4738,2380,0,0,9,0,57163,0,0,0,0,0,0,0,19070,0,0,0,654,0,0,0,0,0,0,6,0,0,0,0,15,0,0,2031,3,0,0,0,0,0,0,0,0,0,0,12325,0,3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADD10",0,37132,5,0,0,0,0,0,0,0,2305,0,4440,0,0,0,0,0,0,0,0,245,5,0,0,0,0,0,0,3,0,7549,0,0,1502,0,0,4004,395,0,0,2692,0,0,0,843,0,0,0,33762,0,0,0,0,3185,0,0,0,0,0,0,654,0,0,0,16911,0,0,0,0,0,0,0,0,0,0,37
"WADD11",0,759,14965,0,0,0,0,0,0,0,21700,0,3730,20856,0,0,0,0,0,0,0,5064,0,0,0,0,0,0,0,0,0,2086,0,431,0,0,0,16963,0,0,0,12520,5,0,0,86,0,0,0,22243,0,0,0,0,0,34,0,0,0,0,0,0,0,24722,0,1509,0,0,3566,0,0,0,0,0,0,0,195
"WADD17",28,0,427,0,0,0,0,0,0,0,7704,0,8675,26671,0,0,0,0,0,0,183,40707,0,0,0,0,0,0,86,706,0,1730,0,118,3912,0,0,9488,51,0,0,0,0,0,0,211,8703,0,4703,24796,0,0,0,231,314,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0
"WADD3",0,0,0,0,0,0,0,0,0,0,25459,0,14716,22006,0,0,14367,18,0,0,0,17975,0,0,91,0,0,0,9848,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3693,0,2728,44914,28,0,36055,0,0,39,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHALL",0,0,0,0,30455,8,0,0,0,0,129,0,5368,0,0,0,18725,0,0,0,0,17433,0,0,0,0,0,0,0,0,0,15869,0,0,0,0,0,0,0,0,0,12949,0,0,0,2830,17415,0,0,20079,0,0,24942,0,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOOD",0,0,97,0,0,0,0,0,0,3,259,0,5505,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66606,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"WRONG",0,0,0,162,0,11,96,0,0,0,1642,0,992,1395,0,0,250,0,0,0,0,4388,0,0,0,0,0,0,0,89635,0,63,0,1045,0,0,0,0,0,0,0,33797,0,6,0,34,24626,0,0,2366,0,0,0,0,0,92,0,0,0,0,1939,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
