"","Acroloxidae","Aeshnidae","Asellidae","Baetidae","Chaoboridae","Chironomidae","Coenagrionidae","Corixidae","Crangonyctidae","Culicidae","Dixidae","Dytiscidae","Erpobdellidae","Gammaridae","Gerridae","Glossiphoniidae","Haliplidae","Hydrophilidae","Hygrobiidae","Libellulidae","Lymnaeidae","Micronectidae","Naucoridae","Noteridae","Notonectidae","Physidae","Planorbidae","Pleidae","Polycentropodidae","Psychomyiidae","Ptychopteridae","Sciomyzidae","Scirtidae","Sialidae","Sphaeriidae","Tabanidae","Tateidae","Valvatidae"
"CAKE",0,0,0,2,0,33,18,5,0,0,0,0,0,0,0,7,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0
"CHIP",0,0,10,0,13,71,0,13,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAN",0,0,5,0,0,0,14,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"LDUN2",0,0,0,0,0,126,13,10,0,0,0,13,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,0,0
"LDUN3",0,1,11,0,0,19,15,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"POHI",0,0,47,3,0,53,9,0,32,0,1,2,5,40,0,2,0,0,0,0,0,0,0,1,4,0,0,0,3,2,6,0,0,11,2,0,0,0
"RAIL",0,0,18,0,0,1,27,19,0,0,0,9,85,0,0,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SABA",0,1,0,0,0,40,6,6,8,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,13,17,0,0,1
"SKEY1",0,2,5,4,0,6,22,18,4,4,1,10,6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0
"THW16",0,0,68,0,0,164,0,6,0,0,0,1,0,0,0,5,9,0,0,0,2,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,1
"VALE",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADD10",0,2,0,0,0,33,7,0,0,0,0,2,0,0,0,0,3,0,6,1,31,0,0,0,3,0,2,0,0,0,0,1,0,0,89,0,0,8
"WADD11",0,1,11,0,0,175,10,6,0,0,0,4,0,0,0,0,11,1,0,5,23,0,0,0,1,0,1,0,0,0,0,0,0,2,18,0,0,65
"WADD17",0,0,2,0,4,20,24,7,0,0,1,11,0,0,1,1,5,1,4,4,0,0,4,9,6,0,6,0,0,0,0,0,0,0,15,0,0,0
"WADD3",0,0,0,0,0,10,5,1,0,1,1,3,0,0,4,0,1,0,0,0,0,0,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0
"WHALL",0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0
"WOOD",1,0,11,5,33,1,11,1,0,0,0,1,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
"WRONG",0,0,0,0,0,2,3,3,0,1,0,17,0,0,0,39,1,4,0,0,15,0,3,2,2,0,0,12,0,0,1,0,1,0,0,0,0,0
